_unit_id,_golden,_canary,_unit_state,_trusted_judgments,_last_judgment_at,business_category,business_category:confidence,description_available,description_available:confidence,website_match_yn,website_match_yn:confidence,orig__canary,orig__golden,orig__last_judgment_at,orig__trusted_judgments,orig__unit_id,orig__unit_state,billing_country,business_category_gold,business_name,description_available_gold,google1_correct_website,google1_correct_website_found,google1_correct_website_found_gold,google1_correct_website_foundconfidence,google1_correct_website_gold,google1_correct_website_worker_input,google1_correct_website_worker_inputconfidence,google1_correct_websiteconfidence,website,website_match_yn_gold
474823173,FALSE,,finalized,3,6/5/14 0:29,Financial Services,1,yes,1,website_yes_match,1,,FALSE,5/28/14 18:45,3,470788862,finalized,Canada,,Central 1,,http://central1.com/,yes,,1,,/www.central1.com,0.6538,0.6538,,
474823174,FALSE,,finalized,3,6/4/14 22:35,Financial Services,0.351,yes,1,website_yes_match,1,,FALSE,5/28/14 18:36,3,470787541,finalized,Germany,,ad agents GmbH Hamburg - Germany,,http://ad-agents.com/,yes,,0.64,,ad-agents.com/,0.2304,0.36,http://www.ad-agents.com/kontakt/,
474823175,FALSE,,finalized,3,6/4/14 9:46,Other,1,yes,1,website_yes_match,1,,FALSE,5/28/14 18:46,3,470787655,finalized,,,ad tech | iMedia,,http://ad-tech.com/,yes,,1,,ad-tech.com,1,1,,
474823176,FALSE,,finalized,3,6/3/14 15:03,Retail,0.6852,yes,1,website_yes_match,1,,FALSE,5/28/14 20:01,3,470787573,finalized,United States,,AddRev,,http://addrev.com/,yes,,1,,addrev.com/,0.6538,1,,
474823177,FALSE,,finalized,3,6/4/14 10:32,Other,0.6738,yes,1,website_yes_match,1,,FALSE,5/28/14 22:32,3,470787635,finalized,France,,Adotmob,,http://adotmob.com/,yes,,1,,adotmob.com,0.6538,1,http://adotmob.com/,
474823178,FALSE,,finalized,3,6/4/14 9:07,Other,0.6371,yes,1,website_yes_match,1,,FALSE,5/28/14 20:04,3,470788268,finalized,United Kingdom,,BBC Advertising,,http://advertising.bbcworldwide.com/,yes,,1,,advertising.bbcworldwide.com/,0.383,1,www.bbc.com,
474823179,FALSE,,finalized,3,6/4/14 5:49,Other,1,yes,1,website_yes_match,1,,FALSE,5/28/14 21:14,3,470787681,finalized,Germany,,adyard GmbH - Germany,,http://adyard.de/,yes,,1,,adyard.de/,0.36,1,www.adyard.de,
474823180,FALSE,,finalized,3,6/3/14 13:23,Other,1,yes,1,website_yes_match,1,,FALSE,5/28/14 23:15,3,470787761,finalized,Canada,,airG,,http://airg.com/,yes,,1,,airg.com/,0.3636,1,www.airg.com,
474823181,FALSE,,finalized,3,6/4/14 23:45,CPG,0.3609,yes,1,website_yes_match,1,,FALSE,5/28/14 19:57,3,470787835,finalized,United States,,All Star Products Group,,http://allstarmg.com/,yes,,1,,allstarmg.com,0.6281,1,www.allstarmg.com,
474823182,FALSE,,finalized,3,6/4/14 19:43,Other,0.6787,yes,1,website_yes_match,1,,FALSE,5/28/14 21:44,3,470787847,finalized,,,AlmondNet,,http://almondnet.com/,yes,,1,,almondnet.com,0.6382,1,,
474823183,FALSE,,finalized,3,6/4/14 2:07,Other,0.7333,yes,1,website_yes_match,1,,FALSE,5/28/14 18:25,3,470787972,finalized,Germany,,antwerpes ag,,http://antwerpes.de/,yes,,1,,antwerpes.de,0.6667,1,,
474823184,FALSE,,finalized,3,6/4/14 22:12,Other,0.6167,yes,1,website_yes_match,1,,FALSE,5/28/14 22:00,3,470787980,finalized,United States,,Apartments.com,,http://apartments.com/,yes,,1,,Apartments.com,0.3673,0.6327,www.apartments.com,
474823185,FALSE,,finalized,3,6/4/14 0:41,Other,1,yes,1,website_yes_match,1,,FALSE,5/28/14 17:33,3,470788012,finalized,United States,,Archer&gt;malmo,,http://archermalmo.com/,yes,,1,,archermalmo.com,0.6632,1,http://www.archermalmo.com/,
474823186,FALSE,,finalized,3,6/4/14 15:15,Retail,1,yes,1,website_yes_match,1,,FALSE,5/28/14 21:33,3,470788060,finalized,United States,,As Seen On TV Products,,http://asseenontv.com/,yes,,1,,asseenontv.com,0.3913,1,http://www.asseenontv.com/,
474823187,FALSE,,finalized,3,6/3/14 13:26,Financial Services,0.6519,yes,1,website_yes_match,1,,FALSE,5/28/14 20:24,3,470788064,finalized,United States,,Assurant Health,,http://assuranthealth.com/,yes,,1,,assuranthealth.com,0.375,0.6667,www.assuranthealth.com,
474823188,FALSE,,finalized,3,6/4/14 23:53,,0.2322,yes,0.6334,website_yes_match,1,,FALSE,5/28/14 19:11,3,470788069,finalized,,,Astrology Answers,,http://astrologyanswers.com/,yes,,1,,astrologyanswers.com,0.72,1,www.astrologyanswers.com,
474823189,FALSE,,finalized,3,6/4/14 10:05,Retail,1,yes,1,website_yes_match,1,,FALSE,5/28/14 19:40,3,470788106,finalized,Spain,,AURUM SPAIN,,http://aurum.is/,yes,,0.68,,aurum.is,0.2448,0.36,,
474823190,FALSE,,finalized,3,6/3/14 18:38,Retail,1,yes,1,website_yes_match,1,,FALSE,5/28/14 18:37,4,470788328,finalized,Germany,,BenQ - Germany,,http://benq.de/,yes,,1,,benq.de,0.5143,1,,
